"Materials Table.  Posted Version 12.7, 8-Feb-2012",,,,,,,,,Added cost calculation,,,,
Material ID,Material,Supplier,Category,Table Price,Unit 1,Unit 2,C1,C2,Size1,Size2,Calc Value,Modified,Comments
89,"Brake Caliper, Spiegler, S108",Spiegler,Brake System, $257.00 ,unit,,,,,,,23-May-10,Same price for left and righ calipers.
90,"Brake Caliper, Student Built",Student Built,Brake System, $-   ,unit,,,,,,,,
91,"Brake Caliper, Tokico, 45150-MEL-023",Tokico,Brake System, $75.00 ,unit,,,,,,,2-Mar-09,
92,"Brake Caliper, Wilwood, Billet Dynalite Single",Wilwood,Brake System, $50.00 ,unit,,,,,,,,
93,"Brake Caliper, Wilwood, Billet NDL",Wilwood,Brake System, $78.00 ,unit,,,,,,,,
94,"Brake Caliper, Wilwood, Dynalite Single Floater",Wilwood,Brake System, $50.00 ,unit,,,,,,,,
95,"Brake Caliper, Wilwood, DynaPro Radial",Wilwood,Brake System, $110.00 ,unit,,,,,,,,
96,"Brake Caliper, Wilwood, DynaPro Single",Wilwood,Brake System,$53.00 ,unit,,,,,,,18-Apr-10,
97,"Brake Caliper, Wilwood, Forged Dynalite",Wilwood,Brake System, $68.00 ,unit,,,,,,,,
98,"Brake Caliper, Wilwood, GP310",Wilwood,Brake System, $105.00 ,unit,,,,,,,,
99,"Brake Caliper, Wilwood, GP320",Wilwood,Brake System, $98.00 ,unit,,,,,,,,
100,"Brake Caliper, Wilwood, Kart",Wilwood,Brake System, $58.00 ,unit,,,,,,,,
101,"Brake Caliper, Wilwood, NDL",Wilwood,Brake System, $70.00 ,unit,,,,,,,,
102,"Brake Caliper, Wilwood, PS-1",Wilwood,Brake System, $46.00 ,unit,,,,,,,,
103,"Brake Caliper, Yamaha (YZF 450), 5TG-2580T-00-00",Yamaha,Brake System, $91.00 ,unit,,,,,,,20-Mar-10,
104,"Brake Hard Line, Any Material (All Cost as Made)",Any,Brake System, $-   ,unit,,,,,,,,
105,Brake Light Pressure Switch Banjo Bolt,Any,Brake System, $8.00 ,unit,,,,,,,8-Mar-09,
106,"Brake Pad, Aluminum or MMC Rotor",Any,Brake System, $0.0004 ,mm^3,,,,,,,,Volume of pad and backing plate to be included in calculation
107,"Brake Pad, Carbon Rotor",Any,Brake System, $0.0012 ,mm^3,,,,,,,,Please submit Add Item Request
108,"Brake Pad, Iron or Steel Rotor",Any,Brake System, $0.0002 ,mm^3,,,,,,,,Volume of pad and backing plate to be included in calculation.
109,Brake Rotor (All Cost as Made),Any,Brake System, $-   ,unit,,,,,,,,This item should be cost as made whether the team made it or bought it.  Please see Rule C3.12 for more information.
110,"Brake Caliper, Comet 650, Front",,Brake System, $43.00 ,unit,,,,,,,1-Mar-09,
111,"Master Cylinder, AP, CP2623",AP,Brake System, $81.50 ,unit,,,,,,,,
112,"Master Cylinder, AP, CP3756",AP,Brake System, $97.00 ,unit,,,,,,,19-Apr-09,
113,"Master Cylinder, AP, CP4400",AP,Brake System, $117.50 ,unit,,,,,,,,
114,"Master Cylinder, AP, CP4623",AP,Brake System, $68.50 ,unit,,,,,,,9-May-10,
115,"Master Cylinder, AP, CP5854",AP,Brake System, $203.50 ,unit,,,,,,,,
116,"Master Cylinder, AP, CP5855",AP,Brake System, $260.00 ,unit,,,,,,,,
117,"Master Cylinder, AP, CP6465",AP,Brake System, $203.50 ,unit,,,,,,,,
118,"Master Cylinder, AP, CP7855",AP,Brake System, $174.50 ,unit,,,,,,,23-May-10,
119,"Master Cylinder, Beck Arnley, 072-9455",Beck Arnley,Brake System, $45.00 ,unit,,,,,,,1-Mar-10,
120,"Master Cylinder, Brembo, 10.4776.10",Brembo,Brake System, $26.00 ,Unit,,,,,,,,
121,"Master Cylinder, Brembo, 10.4776.20",Brembo,Brake System, $26.00 ,Unit,,,,,,,1-Jun-09,
122,"Master Cylinder, Brembo, 10.4776.65",Brembo,Brake System, $46.50 ,Unit,,,,,,,,
123,"Master Cylinder, Brembo, XA6.C2.3
",Brembo,Brake System, $205.00 ,Unit,,,,,,,8-Jun-09,
